datee;PriceUSD;Percentage
2010-07-18;0.08584;0
2010-07-19;0.0808;-5.87138863
2010-07-20;0.074735729;-7.505286122
2010-07-21;0.079192863;5.963859469
2010-07-22;0.05846976;-26.16789138
2010-07-23;0.06059287;3.631123643
2010-07-24;0.05454;-9.98940915
2010-07-25;0.050540618;-7.332932982
2010-07-26;0.056;10.80196845
2010-07-27;0.058622016;4.68217208
2010-07-28;0.058911099;0.493129418
2010-07-29;0.0699;18.65336321
2010-07-30;0.064657382;-7.500169316
2010-07-31;0.067545799;4.467266113
2010-08-01;0.0611;-9.542856918
2010-08-02;0.06;-1.800327332
2010-08-03;0.060012151;0.020251315
2010-08-04;0.05701578;-4.99293977
2010-08-05;0.061;6.987924637
2010-08-06;0.061671315;1.100516427
2010-08-07;0.059003945;-4.325138775
2010-08-08;0.0609;3.21343757
2010-08-09;0.0704;15.59934319
2010-08-10;0.069338729;-1.507487481
2010-08-11;0.067;-3.372904081
2010-08-12;0.07;4.47761194
2010-08-13;0.0645;-7.857142857
2010-08-14;0.066996434;3.87043979
2010-08-15;0.065117932;-2.803882772
2010-08-16;0.0655;0.586732078
2010-08-17;0.07;6.870229008
2010-08-18;0.068;-2.857142857
2010-08-19;0.0667;-1.911764706
2010-08-20;0.0655;-1.79910045
2010-08-21;0.0664;1.374045802
2010-08-22;0.065928989;-0.709354073
2010-08-23;0.06491;-1.545585504
2010-08-24;0.065;0.13865352
2010-08-25;0.0648;-0.307692308
2010-08-26;0.064075114;-1.118651283
2010-08-27;0.065;1.443440322
2010-08-28;0.0646;-0.615384615
2010-08-29;0.064;-0.92879257
2010-08-30;0.06497;1.515625
2010-08-31;0.06;-7.64968447
2010-09-01;0.062024828;3.374712644
2010-09-02;0.0634;2.217132183
2010-09-03;0.06085;-4.022082019
2010-09-04;0.062178276;2.182869124
2010-09-05;0.06165;-0.849614845
2010-09-06;0.0616;-0.081103001
2010-09-07;0.061239118;-0.585847306
2010-09-08;0.061;-0.390466204
2010-09-09;0.061114971;0.188476684
2010-09-10;0.061011524;-0.169265437
2010-09-11;0.063620865;4.276799782
2010-09-12;0.0615;-3.333599742
2010-09-13;0.06218;1.105691057
2010-09-14;0.06199;-0.30556449
2010-09-15;0.0604;-2.564929827
2010-09-16;0.0619;2.483443709
2010-09-17;0.060000526;-3.068617111
2010-09-18;0.061;1.665775383
2010-09-19;0.0627;2.786885246
2010-09-20;0.062101736;-0.954169335
2010-09-21;0.06265;0.882848387
2010-09-22;0.06188187;-1.226065042
2010-09-23;0.062153513;0.438969141
2010-09-24;0.0622;0.074794541
2010-09-25;0.06202;-0.289389068
2010-09-26;0.062;-0.032247662
2010-09-27;0.062200442;0.323293301
2010-09-28;0.061903898;-0.476755659
2010-09-29;0.06191;0.009857666
2010-09-30;0.0619;-0.016152479
2010-10-01;0.061973314;0.118439179
2010-10-02;0.0614;-0.925097943
2010-10-03;0.061064868;-0.545816779
2010-10-04;0.061294477;0.376007387
2010-10-05;0.0614;0.172157576
2010-10-06;0.06281;2.296416938
2010-10-07;0.067;6.670912275
2010-10-08;0.084453108;26.04941511
2010-10-09;0.0938;11.06755226
2010-10-10;0.097146201;3.56737852
2010-10-11;0.095;-2.209248564
2010-10-12;0.0949;-0.105263158
2010-10-13;0.104865589;10.50114766
2010-10-14;0.102;-2.732630554
2010-10-15;0.105;2.941176471
2010-10-16;0.101;-3.80952381
2010-10-17;0.102;0.99009901
2010-10-18;0.1024;0.392156863
2010-10-19;0.097544892;-4.741316527
2010-10-20;0.099;1.491731751
2010-10-21;0.107;8.080808081
2010-10-22;0.1025;-4.205607477
2010-10-23;0.104556424;2.006267623
2010-10-24;0.11501;9.998023321
2010-10-25;0.139118553;20.96213624
2010-10-26;0.151;8.540519478
2010-10-27;0.1877;24.30463576
2010-10-28;0.1731;-7.778369739
2010-10-29;0.19;9.763142692
2010-10-30;0.197610544;4.005549233
2010-10-31;0.1925;-2.586169468
2010-11-01;0.194525061;1.051979931
2010-11-02;0.1938;-0.372734167
2010-11-03;0.1931;-0.36119711
2010-11-04;0.229275161;18.73389991
2010-11-05;0.259112414;13.01373118
2010-11-06;0.400982303;54.75225478
2010-11-07;0.34;-15.20822798
2010-11-08;0.243184629;-28.47510916
2010-11-09;0.217272694;-10.6552518
2010-11-10;0.229549731;5.650519895
2010-11-11;0.2231;-2.80973152
2010-11-12;0.2682;20.21515016
2010-11-13;0.276;2.908277405
2010-11-14;0.27904;1.101449275
2010-11-15;0.268464556;-3.789938426
2010-11-16;0.225;-16.19005372
2010-11-17;0.241939334;7.528592766
2010-11-18;0.269057791;11.20878388
2010-11-19;0.27829;3.431310875
2010-11-20;0.283015965;1.698215866
2010-11-21;0.27675;-2.213996986
2010-11-22;0.285;2.98102981
2010-11-23;0.28295;-0.719298246
2010-11-24;0.282905736;-0.015643608
2010-11-25;0.28;-1.027104098
2010-11-26;0.2844;1.571428571
2010-11-27;0.283;-0.492264416
2010-11-28;0.271358679;-4.113540942
2010-11-29;0.230559456;-15.03516409
2010-11-30;0.2082;-9.697913415
2010-12-01;0.2275;9.269932757
2010-12-02;0.255;12.08791209
2010-12-03;0.251060084;-1.545065264
2010-12-04;0.205000526;-18.34602973
2010-12-05;0.202850018;-1.049025832
2010-12-06;0.204;0.566912678
2010-12-07;0.233420386;14.42175772
2010-12-08;0.2388;2.304689131
2010-12-09;0.199991694;-16.25138428
2010-12-10;0.204;2.004236067
2010-12-11;0.228;11.76470588
2010-12-12;0.219853612;-3.572977227
2010-12-13;0.227605237;3.525811886
2010-12-14;0.24669;8.385028206
2010-12-15;0.24;-2.711905631
2010-12-16;0.24996;4.15
2010-12-17;0.242655815;-2.922141418
2010-12-18;0.241;-0.682371989
2010-12-19;0.2401;-0.373443983
2010-12-20;0.267;11.20366514
2010-12-21;0.241436002;-9.57453096
2010-12-22;0.25;3.54710879
2010-12-23;0.249970128;-0.011948802
2010-12-24;0.248;-0.788145372
2010-12-25;0.2499;0.766129032
2010-12-26;0.264962127;6.027261869
2010-12-27;0.264785389;-0.066703401
2010-12-28;0.281;6.123680548
2010-12-29;0.3;6.761565836
2010-12-30;0.3;0
2010-12-31;0.3;0
2011-01-01;0.3;0
2011-01-02;0.29997;-0.01
2011-01-03;0.295;-1.65683235
2011-01-04;0.29895;1.338983051
2011-01-05;0.298916302;-0.011272065
2011-01-06;0.298;-0.306541382
2011-01-07;0.32;7.382550336
2011-01-08;0.3229;0.90625
2011-01-09;0.323;0.03096934
2011-01-10;0.32659;1.111455108
2011-01-11;0.32659;0
2011-01-12;0.318799621;-2.385369646
2011-01-13;0.3176;-0.376293193
2011-01-14;0.399990006;25.94143761
2011-01-15;0.386;-3.49758885
2011-01-16;0.38679;0.204663212
2011-01-17;0.3495;-9.640890406
2011-01-18;0.31299;-10.44635193
2011-01-19;0.31299;0
2011-01-20;0.39;24.60461996
2011-01-21;0.41991;7.669230769
2011-01-22;0.440035529;4.792819635
2011-01-23;0.4424;0.5373364
2011-01-24;0.4199;-5.085895118
2011-01-25;0.41;-2.357704215
2011-01-26;0.41508513;1.240275548
2011-01-27;0.4212;1.473160519
2011-01-28;0.444484044;5.52802574
2011-01-29;0.439;-1.233800063
2011-01-30;0.477142034;8.68839041
2011-01-31;0.52513687;10.05881539
2011-02-01;0.707510117;34.72870731
2011-02-02;0.725434822;2.53349096
2011-02-03;0.693898368;-4.347248461
2011-02-04;0.810958971;16.86999267
2011-02-05;0.911671477;12.41893976
2011-02-06;0.898;-1.499605706
2011-02-07;0.88942137;-0.955304013
2011-02-08;0.918;3.213171058
2011-02-09;1.016050245;10.68085463
2011-02-10;0.979652963;-3.582232518
2011-02-11;1.054069454;7.596209388
2011-02-12;1.078703284;2.337021572
2011-02-13;1.05;-2.660906337
2011-02-14;1.070012624;1.905964209
